"run","seed","mask_ratio","patch_length","steps","masked_mse","epoch_time_sec","total_train_time_sec"
"det_mask_0p2","42","0.2","16","20","0.3933188199996948","1.588339799998721","9.848690299999362"
"det_mask_0p4","42","0.4","16","20","0.40205722153186796","1.5939619000000675","9.832226000000446"
"det_mask_0p6","42","0.6","16","20","0.40245445668697355","1.6165798000001814","9.686567099999593"
"det_patch_32","42","0.4","32","20","0.3835476964712143","1.039199799999551","9.273427199999787"
"det_patch_8","42","0.4","8","20","37199225133466","2.82539480000014","11.205498799999987"
