"label","mask_ratio","patch_length","mse_mean","mse_delta_vs_baseline","mse_pct_vs_baseline","time_mean_sec","time_ratio_vs_baseline"
"patch_8","0.4","8","0.39335380991299945","0.01813015192747114","4.831825377111576","2.6162467666666394","1.7736419676423272"
"mask_0p2","0.2","16","0.3720620810985565","-0.0031615768869718286","-0.8425846344405463","1.5550329000003937","1.0542092770626956"
"mask_0p4","0.4","16","0.3752236579855283","0","0","1.4750703999998223","1"
"mask_0p6","0.6","16","0.3756848524014155","0.00046119441588721166","0.12291187031310269","1.4641961999993025","0.992628012872795"
"patch_32","0.4","32","0.36506774177153906","-0.010155916213989258","-2.7066300319424252","0.894051966666666","0.6061079977381241"
