label,mask_ratio,patch_length,n_seeds,steps_mean,masked_mse_mean,masked_mse_std,masked_mse_ci95,epoch_time_mean_sec,token_throughput_mean
patch_8,0.4,8,3,20.0,0.39335380991299945,0.06113274449147455,0.4484583524422895,2.6162467666666394,15656.90128155108
mask_0p2,0.2,16,3,20.0,0.3720620810985565,0.03563717456561052,0.2614276313673557,1.5550329000003937,13187.469637176691
mask_0p4,0.4,16,3,20.0,0.3752236579855283,0.03746798600076867,0.2748581208157401,1.4750703999998223,13884.18855537554
mask_0p6,0.6,16,3,20.0,0.3756848524014155,0.038463816223062657,0.2821633446285608,1.4641961999993025,13988.339678332426
patch_32,0.4,32,3,20.0,0.36506774177153906,0.022196836174086753,0.16283182871743263,0.894051966666666,11458.534054266767
